,comment_text,severe_toxic
4cf47b071b212d45,YOU FUCKEN TRICK ASS BITCH. BONSAI ARE FOR FAGGOT ASS MOTHERFUCKERS- CANT BACK UP YOUR SHIT,1
103484,"Regarding your sexuality
Is it true you iz a homo nigga? You is a skinny little dork fuck aren't ya? You have never had pussy have you boy? Never. You is a ninny is what you is. One one nigga. Bang blunts all day long son.",1
33808,"This makes little sense 

Pressure down to 940 mb (possibly lower) and the intensity is still only 115 mph? (Bits and pieces of the 10:00 advisory are available and it shows 115 still) I would expect a special advisory in the next couple hours showing Katrina actually as a Category 4 storm with 135-140 mph winds...",0
65732,"Thank you for the encouragement. I only intend to come along and fix little problems I see every so often, and don't intend to get dragged into edit wars or the internal politics of this place. Most times I do this without logging in so other users see a very unbalanced view of my contributions. Thanks again.",0
98987,"lame 

You fuckin queer. Don't you have anything better to do than to monitor wikipedia? Go poop-stain your dick.",1
51a33f6d660f7160,"APT vs.BM (WARP)  

 I can't see that either of the references given has anything to do with this case.  What was the result?",0
35032,"I am going to shoot you in the head and laugh as your brains splatter onto the ground and blood pools around your corpse. 

I am going to shoot you in the head and laugh as your brains splatter onto the ground and blood pools around your corpse.",1
33841,hey ms bitch get the fuck out,1
49467,and why the fuck you say fuck you up there? fuck you too man!,1
138239,"fuck head fuck stick wikipedia wanker 

up yours",1
108711,The Garland in Dissidia is from the first Final Fantasy.,0
79da8e98da6bd0c4,""" 

 :::You seem to missing the central objections to the images. 
 * Some of the girls might be underage. Even the slim possibility that might be is a reason for deletion, as child pornography is something Wikipedia can be prosecuted and shut down for.  
 * There are no model releases provided, nor a cursory mention of their consent to having these images released on the web. Even without the age issue, that alone might have legal ramifications, not to mention ethical ones.    

 """,0
352f365b432dbe3f,"""! 

 """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! Bitch Ass Nigger! """"Bitch Ass Nigger! Bitch",1
90871,"Let us upgrade

For the year 2006-07, let us concentrate on upgrading the contents as decided: Wales to upgrade quality of Wiki. Thanks.",0
105016,"tbjablins comment above 

you dam nazi! go suck a dildo",1
7242a928f0f1f7c0,""" 

 == County Londonderry == 

 Please refrain from changing references to County Londonderry to read County Derry. The official name of the county is County Londonderry and there has never officially been a County Derry in the history of Ireland in anything other than a colloquial sense. See WP:IMOS for more details.   """,0
97811,"SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE",1
130589,"As far as using that information for your project, we'll that's bot generated information, and while it is mostly reliable, it can't be completely accurate.",0
153482,"hi i'm angel of sadness 

i'm a 10 years old girl that love gay band tokio hotel and you?",0
d6c8b877683e04cf,fuck you kid your a dick,1
565d151901ac2063,"== Laura Bush Article == 

 What the fuck did you just fucking say about me, you little bitch? I’ll have you know I graduated top of my class in the Navy Seals, and I’ve been involved in numerous secret raids on Al-Quaeda, and I have over 300 confirmed kills. I am trained in gorilla warfare and I’m the top sniper in the entire US armed forces. You are nothing to me but just another target. I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words. You think you can get away with saying that shit to me over the Internet? Think again, fucker. As we speak I am contacting my secret network of spies across the USA and your IP is being traced right now so you better prepare for the storm, maggot. The storm that wipes out the pathetic little thing you call your life. You’re fucking dead, kid. I can be anywhere, anytime, and I can kill you in over seven hundred ways, and that’s just with my bare hands. Not only am I extensively trained in unarmed combat, but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent, you little shit. If only you could have known what unholy retribution your little “clever” comment was about to bring down upon you, maybe you would have held your fucking tongue. But you couldn’t, you didn’t, and now you’re paying the price, you goddamn idiot. I will shit fury all over you and you will drown in it. You’re fucking dead, kiddo.",1
35703,""":It's out now, but under the title """"The Solar System Beyond Neptune"""".   

""",0
135867,"I will ₵ut off your dick and balls and make you my bitch. 

I shall name you Reek.",1
24541,"""

 Igor, as far as i can tell, you still may not edit the article (or this space, but if i had anything to say about it, i would not proscribe that).  i am reverting your edit to the article until it can be verified by recipients that this is the actual email promulgated by the Editorial Board of CQG.  Steve Carlip was on that board and was the person to originally supply that other statement that is less flattering.  is the """"first"""" version a fabrication?  did the Editorial Board officially change their mind about it?  """,0
140732,Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mother ass and pussy i want suck your pussy Fucking in your mot,1
149236,"wow! 

I saw how you deleted my addition to gone maggie gone. You really must be a lonely piece of shit. If you had ever watched the episode you would see how it is a parody of O'Reilly and only him in that scene. I reported your deconstructive edit and traced your IP. It also seems like you are a big neo nazi fan of O'Reilly and will do whatever you can to protect your friend in christ. Let's begin the edit war!

GO FUCK YOURSELF, FAGGOT!!!",1
a3f6c6ab8b9d3ba9,"== k nek yaself  == 

 nek up for deleting ma comment 
 unless u the r3al rangabanga",0
c47fb47eaa9f8b01,Triple Spy Towers II,0
46360,"soulja bitch is whack, fuck da dirty south",1
76793,"FUCK YOU WIKIPEIA YOU CANT STOP US!!!!!!!!!!!!!!!!
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK
FUCK",1
b26152d9cc12d8b2,"""::::Swearing has been proven to be an extremely effective pain/stress reliever.  As another admin doing high-tension, thankless work in largely the same vein as Bwilkins, I can only say that it's easier than you think to just throw up your hands and say """"for fuck's sake, do you need your head checked?"""" If you think I only support the right of other admins to say that, a perusal of my talkpage archives should disavow you of that notion.  And incidentally, I've been on the receiving end of a ton of vicious comments from non-admins in a couple areas I enforce discretionary sanctions, including accusations of reading yaoi and bara (despite my signature, I have no love for anime of any kind), being referred to as an evil Colonialist Westerner, being told I should be fucked upside down, and the inevitable questions about getting my head checked (got that done many years ago, the results are described here).  So don't worry, we hear plenty of rave reviews from non-admins, and due to the nature of dynamic IPs there's even less we can do about it.     
 """,0
158856,"Hey 

hey faggot, are you dead yet? or are you watching your mom getting raped by filthy pigs? which one is it? I'm coming to rape your mom and shoot your entire family. You have 1 week to live, you motherfucker.",1
101953,"No, it was RE-ADD.. not read with two d's.. you STUPID FUCKING CUNT!!!!",1
102428,"Talkback

Identifying the helmets",0
156646,"I reported it on the appropriate sanctions noticeboard, but in the meantime, are we just supposed to leave up specious false insinuations about someone because an IP doesn't care if they get 3RR blocked?",0
307f38e5da9ea409,""" 

 :The tone of the introduction seems to reflect an unwillingness to accept that Intelligent Design scientists EXIST within the scientific community.  There are a handful of scientists who are ID proponents - you can pretty much count them without running out of fingers.  There are probably quite a few more who are sympathetic to the idea.  But no one is actually using ID in science.  They're a real political presence, yes, but they aren't using ID in their scientific endeavours.  So, as far as the """"science"""" of ID, they don't exist.  We have a separate intelligent design movement article that deals with the political movement.  This article is about the so-called science of ID. 
 :How would you propose we change this article?  What sources are we missing, or are we misrepresenting?  It isn't really about our opinions - it's about representing sources in a balanced fashion.  What do you suggest we change?    """,0
7063,"You're a moron! 

It's F
U
C
K
 
F
U
C
K
 
F
U
C
K
 
A
 
D
U
C
K
,
 
S
C
R
E
W
 
A
 
K
A
N
G
A
R
O
O
,
 
6
9
 
A
 
P
O
R
C
U
P
I
N
E
,
 
O
R
G
Y
 
A
T
 
T
H
E
 
Z
O
O
.",1
151620,"fuck you

 Picka ti Machina 

Youve been reverted, so fuck ya back

How about you vandalise my page again, ill revert it, and get your good self blocked for an extended period of time. fuck you.

i'm gonna find ya, harass ya, then fuckin kill ya because you are a fuckin gross lesbian.",1
63436,"""

Both names are correct. So there is no need to change from one to the other, the article should be left as it was when you found it - ie Roslea. 303 """,0
103624,and attacked him based on those assumptions,0
10253,"Sorry, but no. The idea of a partial rather than site ban is that a user can probably be a productive contributor to the encyclopedia, but needs to disengage from a particular area. Using various usertalk pages as a proxy for Talk:Climatic Research Unit hacking incident would not serve that purpose. If a user approaches you with a specific limited question, it is probably okay (though less than ideal) to render an answer including reference to this temporary ban; users who repeatedly make such approaches after being informed of the ban might be engaged in baiting, attempting to game the system, or otherwise editing disruptively. Thank you for seeking clarification. - 2/0 (cont.)",0
117023,Fuck FINLAY McWALTER hes a faggot and he needs to get a fucking life faggot.,1
148797,"""

 Please do not vandalize pages, as you did with this edit to Nicktoons: Globs of Doom. If you continue to do so, you will be blocked from editing.    """,0
23993,"It's an analysis piece; of course it presents their own opinion after going through the facts.  The point is they're pretty well-regarded among those who follow international news, and their opinion is notable.  I've also read reports that argue the opposite, such as a translation of Pierre Pean's Manipulations Africaines.",0
1a44cad92a0c1c96,"==Son of a bitch== 

 Hey you fucking neo-Nazi, murkin son of a bitch. FUck you. Get the fuck out of this country or move to US of fucking A you motherfucker.  

 P.S> 

 Don't let the door hit your ass on the fucking way out, you fucking bushite.",1
99d58c12cc7d4ed1,I have two semi-automatic pistols and i am in a gang called the DAMN NIGS OF THA WESt,0
81242,"AFP logo bottom right. Image is from Agency France Presse, shouldn't be quoted from BBC and since they sell those things we shouldn't have it at all.",0
62626,"Why don't you go fuck your mom  05:52, 26 Jun 2005 (UTC)",1
143186,"DAT CHICK 

OMG I DIDNT VANDALISE NUFFINK YH??? JUST EXPRESSIN MY OPINION AND MAKIN CONVERSATION INNIT. GET A LIFE, GET A JOB, FK U ENNIT.",1
