,comment_text,identity_hate
152901,Why did you block me?,0
40038,"""""""On the microscopic scale, temperature is defined as the average energy of microscopic motions of a single particle in the system per degree of freedom."""" Temperature is speed.  If there is a limit to speed than there is a limit to temperature.  Either way, would the sound be amplified in extreme heat?   

""",0
44851,"""
I'd like to say that adding a list of former presidents of WIU hardly qualifies as """"testing.""""  Indeed, these are good-faith edits and even appropriate for this article.  Don't let grumpy editors get you down (you'll run into that sort of thing from time to time here at Wikipedia).   """,0
151131,"LGBT 

you little fuck , are you a fag , that piece of shit page is making fucked up claims about Islam , and most of it is not certified , how do you allow this on the site . claims such as that mehmet the conqueror was a fag , i swear if i know who wrote this i'll kill him/her.",1
39282,and  are two homosexuals who worship the penis of Jesus and believe that he was the greatest bastard in the world.,1
91821,"EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$! EA are a bunch of 'homosexuals' who like to make good games, then ruin them by making it a money game. F2P MY @$$!",1
27824,"""
Thanks.  One thought that I've had over the last 3-4 years there after reading a lot of sources and the article itself is that the most informative place to learn about certain aspects (particularly comparative ones) of libertarianism is on the talk page of the libertarianism article.  (I should add """"MisterDub's FAQ material that North reverted"""" to that -))    (A few years ago there was actually an  article in a magazine that said that, when we were using a table to try to sort out the various strands and elements.)    And items like the answer that you prepared for me are certainly an example of that. North8000  """,0
4159,"LOL; charles, you are a real fag aren't you? siding with chinks?? 
go fuck yourself, asswipe! we don't need no chinks in here. 

FAG",1
24743,"DEAR BIGNOLE
Are you gay or do you just suck AlienTravellers dick sometimes?  I try to figure this out because you are always on his page and always sucking him off.  Please answer me 214.13.192.187",1
126178,You are male gentalia.,0
20064,well do it then bitch ass faggot,1
145882,I said gay and by that i meant happy ... of and where it says dicks I thought your names where richard... So if being happy offends i'm sorry...,0
15409,NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER,1
27fb0056063c6ba4,wow im cancelling my account because all the members here are gay,1
123749,"In defence of China! 

Hey Koreans, who the fuck do you think you're dealing with. Guess what, Gaogouli was a Chinese vassal you stupid fucks. After the fall of the Tang Dynasty, close to 700,000 were incorporated into Tang history, a little less than half migrated to the Central Plains, 100,000 to the Chinese state of Bohai and only 100,000 into Xinluo (Silla). Most Gaogouli descendants are Chinese.

With the sole exception of Ansi fort itself, Tang troops destroyed Gaogouli soldiers on the battlefield, despite being a significantly smaller force. If anything, Gaogouli only DEFENDED itself from assaults from Sui and Tang. Gaogouli was a mere Chinese vassal, nothing more. The greatest threat came from the TuBo, TuJue and HuiHe from the west. Koreans are a bunch of fucking attention whores.

You fucking barbarian kimchi gooks have a lot of nerve to badmouth your former masters, considering the fact that you were our little dog for most of your existance. Not to mention your stupid kings would submit to the Imperial envoy in the direction of the Great Emperor of China. Fucking barbarian gooks got a lot of nerve to mess with us. We are the descendants of the great Yellow Emperor and the inheritors of the Great Han and Tang Dynasties. Stupid barbarian shit, don't piss us off.",1
105729,""":::Sorry Nowens, but I'm not going to write your edits for you.
And you don't have your own personal section of the article, that isn't how Wikipedia works. This is a collaborative effort, no one can claim a part of any article as their own personal space to maintain that no one else may touch.
hadley 

""",0
3058,"""

 Thanks 

Thank you for your edit on """"My Paper Heart"""". I got into an incident with another editor who thought that repeating the album title in the tracklisting was the Wikipedia standard, I disagreed, and they brought in a few editors that they work with. So the others said that it was still standard, but I still doubted. So thank you!   """,0
82d72c886ae183d0,niggas ass bitch fucked me hard,1
57551,Do you know the location of the laceration in a Jewish circ?,1
120909,".

Secondly, it has nothing to do with the diplomat. wikipedia's rules would argue he is not notable enough for his own article, therefore his disclaimer (to distinguish between the diplomat and the radio talkshow host) shouldn't be necessary",0
dea6f943851fc60f,"I am attempting to reload the page - with new citations and references. Perhaps I have done it more accurately this time. Please let me know. Again, thank you. 
 joeRider",0
11456,"Bot 

I'm curious, would it be allowable for a bot to use this as a secondary source for badwords when the bot is doing a different job? (e.g. newpage monitoring)
Thanks!",0
130693,you are a gay anti-hindu bastard,1
6298,"Gay
I would like to request the removal of this article on the grounds that it is mad gay.",1
3de4c97b4861137c,"== Cataloger == 

 This spelling is used by the US Library of Congress, among others.",0
d9c8792de639cac2,hahahhahha.....you guys are so gay.....man we need definitions and 2 examples!!! help!!!!!!!!,1
2ebd32b1684c2176,""" 
 ::::::That they are religious texts is obvious, and no ancient historical document is un-problematic in some way. I agree that this issue shouldn't be discussed in depth, but the issue of genre is an important one, and as such I think it is important to come to an agreement on what the genre """"gospel"""" is. I could cite sources on this, but I will just say that the best definition of the """"gospel"""" genre I have seen is that it is a broad and difficult to define genre that includes elements of biography, historiography, and theology. I think we can all agree that it includes elements of these, so I think we should just go with this and not focus too much on this issue.  """,0
ad0abd8e105d2feb,"It used to be you could tell when the person picked up weather or not he was a damn fool, when I call people and hear a bunch of nigger music, I already know its someone I don't want to talk to",1
138065,This is the most interesting article i have ever read.,0
402853595bd2d27b,Ridiculous.German war crimes includes everything (literally everything) covering the war crimes committed by Germany. Why so anal about excluding Korea? Oh right I guess Auschwitz isn't a Nazi war crime because Germany annexed Poland when the holocaust happened. Thus they were technically torturing/killing their own. Fuck me. The Japanese user blockade in this article is amazing to say the least.,0
25c4529cd5b4c34f,""" 

 == Distribution and habitat == 

 In the """"Distribution and habitat"""" section there is a sentence that reads """"Except in Arctic habitats,[46] they are generally resident within their range for the whole year.""""(the LLCN link is dead). This would seem to indicate that Arctic ravens are migratory birds. However, they winter year round in the Arctic. According to An Annotated Checklist to the Birds of Greenland (scroll down to page 50) in the last section it says, """"MOVEMENTS: Dispersive, resident or partially migratory (1 yrs). Even during winter Ravens are recorded in the high arctic."""" Other sources confirm this """"Birds residing in the tundra throughout the year are very few and include species such as... raven"""", """"Only the Common Raven, Snowy Owl and Rock Ptarmigan remain in the biome over winter, having the adaptations needed to do so"""", """"The Common Raven breeds from the high Arctic islands (locally)... The Common Raven is mainly a permanent resident, wintering within the breeding range..."""" and """"The North American breeding and wintering distribution of the Common Raven extends from Alaska and the high Arctic in the north..."""".   """,0
59949,"""

He's tall
He was 5'7"""" when He was human and when He was immortalHUGANTINORMOUS!!!!!!!!!!! Of course He was a baby. But He's an adult now. """,0
d2ef00aa7ad31f84,""" 

 Is the following acceptable? 

 :::Most Japanese historians believe that the Nanking Massacre has been substantially exaggerated  by the Chinese government in order to damage Japan's reputation in the world community. The most extreme view held by some in Japan is that the Massacre was fabricated. In China, the event is a major focal point of Chinese nationalism, and to this day stirs great passions among the Chinese people. Japanese attempts to moderate Chinese claims are rejected as historical revisionism. 

 (I noticed a second problem with this sentence in the original: """"The (relatively benign) Japanese version of the incident is considered to be historical revisionism, especially by the Chinese."""" This implicitly incorporates the claim that """"the Japanese version is considered historical revisionism"""", which is definitely going too far!) 

 Please let me know what you think. I'm not sure if I've gone too far the other way.""",0
95960,"""

That is not a insult. That is a reality, that link is a lint to a racist group. And armenian grow up  their children with racism. They send their children to """"genocide camps"""" and teach them how barbarian Turks are making genocide(!). If you dont believe me please ask an Armenian user.  """,1
9b9054e821573087,", 21 June 2011 (UTC) 

 It's only been in existence a few days English. It is a sight more democratic than your post imperial and failed on line 'encyclopaedia'. Fucking English idiot.   18:38",1
b2ee9d1c9a2be9fd,"== Cockney == 

 fourby = jew (four by two) (yes, this is real not a modern reinvention), any other real ones?",0
99012,"I meant the last 2 comments, The one that gave me a warning and final warning.",0
5dcf1eb7ad15d2f9,""" 

 :That's an extremely generous offer; thank you!  I obviously don't want to force you into working on military history if you'd rather be editing something else; but if you don't mind, I could certainly use your help. 
 :As far as what's more important: our coverage of both Mongol and Roman military history is pretty sparse (most of the Roman battles, except for a few from the Second Punic War, are merely stubs).  I would suggest getting the Mongol articles fleshed out first—there are very few other Wikipedians working in that field—and then moving on to the various Roman articles as time permits.  The order in which you might approach the various articles in these areas is entirely up to you; given that both of them are rather outside my particular area of interest, you'll be in a better position to evaluate which events are more important.  —s """,0
becbdb1a2954c1eb,""" 
 :""""we want it to be okay for stupid questions"""" - OK, point taken with that comment. ''''''  """,0
8412465ae614ca5f,This page reads as if it were copied and pasted from a brochure.,0
6bda7950fd7cbb99,front nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nigger nig,1
46df3a28f8cb1c52,"== mike faulk is a bitch == 

 u aint bout shit u little skint head bitch. wait till i c u im gona fuck u up u little country ass nigga. fuck u and jenna is my girl a always will be u got that u little bitch.!",1
33734,"You just make me laugh 

HAHAHAHAHAHA so you are some aussie bitch hiding behind a computer and changing what i write, im half abo half lebo so i am the truth u cannot face but your girlfriend faces every night ;)",0
98332,"Why did you delete my comment and call me stupid. When you do this, you are simply showing more proof of Wikipedia's anti-Jewish bias and hurting the image of the anti-Israel agenda.",1
dcc32082a0e101dd,WANNA GET HIGH ND FLY INTO THE SKY WITH FAT ASS ANDY MILANOKIS ON MI BAK LIKE WOOBIE!! HAHA PEACE NIGGERS!!,1
59911,"""

 Battle of Britain Aircrew 

Thanks for helping me with the BoB aircrew list... I'm now in Canada, so probably working on it through your night!  Do you have access to Kenneth Wynne's book """"Men of the Battle""""?  I can't get hold of a copy out here, so if you can get one from a library it would be fantastic!
There's loads of events going on to celebrate the 70th Anniversary - check them out at http://battleofbritain1940.net/bobhsoc/index.html - I just wish I were in the UK.  I doesn't seem like five years since I was saluting Prince Charles and the Duchess of Cornwall as they unveiled the Battle of Britain Monument in London!
Best wishes and thanks again   """,0
96275,"I know you from somewhere... 

...WHERE DO I KNOW YOU FROM...

Somewhere...somewhere. The name is indeed familiar.",0
37115,OK thanks for that.,0
58b69430150bc5ee,"Question about being respected by the Bukufu 
 Upon Nichiren's death, was Nichiren ever respected by the Bukufu government of that time?By the way, what shogunate was it at Nichiren's time?Thanks if anyone got some information.",0
6ccceaac60309d0d,"What the fuck are you talking about you stupid son of a bitch??? Same-sex marriage??? You fucking cunt. Fuck you. Fuck your dog, your mama, and FUCK YOU little creep.   Иди нахуй сука Occono pidar naxui",1
12790,Once again Ryulong proves that he's a fucking moron. Big shock.,1
113857,Your cause is nonsense.  You are a Mossad terrorist.,1
47790,"Info ==

I added some info to your user page baout your gay affair with AMerican Brit nad your large butt if you dont mind. Just want to know, is the sex between you and AMerican Brit good?  

==",1
8f57cd2fed7d83fd,"hea woh nigga we nigga  
 tributions",1
16720fbe8ff6f37b,and trying to repress,0
92831,"All the links have been added and edited by myself. An expert on this topic. I have also written this page. My contributions are neautral and strictly made available to the general public for educational purposes only. The external links list is NOT redundant, nor is it overly long (see any number of other articles), nor is it innapropriate in any way. My belief is that these continued persistent edits are useless and destructive/disruptive attempts, that can only be motivated for reasons of intimidating, bullying and vandalising, to engage in an edit war. Ronz and cohorts engaging in a ridiculous and redundant edit war.",0
3ae3ca4b95474516,Gamergate 4 life mah niggas,1
156437,HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAGGOT HUGE FAG,1
153167,"You are involved in a recently filed request for arbitration. Please review the request at Wikipedia:Arbitration/Requests/Case#Military Occupation of Gaza and, if you wish to do so, enter your statement and any other material you wish to submit to the Arbitration Committee. As threaded discussion is not permitted in most arbitration pages please ensure that you make all comments in your own section only. Additionally, the guide to arbitration and the Arbitration Committee's procedures may be of use.

Thanks,",0
105759,"Semitic ==
I thought Arabic uses the root K.N.N. as a copula, is this just Classical Arabic?
 

==",0
bf0da4e835bf1b93,this is just gay lmao,1
32431,"providing source for what? this idiot came and put a speedy delete tag on, a stub, there's no source needed this is just a stub with basic info such as game title and release date. i think he is just a fanboy who don't like ps3 games.",0
96904,"""
I don't know which notice we're talking about. Do you have problems with 1. the notice about allegations of apartheid in nations other than those which have allegation of apartheid articles, or 2. the notice about centralized discussion? T § """,0
