,comment_text,threat
137579,""":: Can you give us any references or citations to differentiate the two, and clarify what precisely you are talking about? I'm finding it difficult to find any reference to """"straight-two"""" at all, except those referencing the Wikipedia. On the other hand, I can find plenty that use parallel twin for 180, 270 or 360 degree twins, and referred to it as """"most commonly known"""". If you read the references I gave, you will also see it is widely used for automobiles, snowmobiles, ATV, jet skis and so on, and has been for decades. 

 Even if you cannot provide references, I'd genuinely like to know where and from when the term was used. (What I think you are suggesting is that parallel-twin is used only for 360 degree engines but that is just not so).    

""",0
6064,"""

  Sodom Yat  Thank you for trying to be helpful in resolving this.  I have followed your advice.  Talk """,0
37038,"Is that density or viscosity of fluid will affect the flow 

Dear all,

Is that anyone come across this issue before? How does the density or viscosity affect the total flow? for example, with different density of gases, will they have same quantities if their flow with same units (1000 m3/hr, etc)? 

Regards,
Lee",0
62422,", 26 November 2011 (UTC)
Like. eh, OK for me now, I can't add more. -  23:38",0
86967,"I will ki 

ll you and wear your skin like a robe!",1
132672,"Your low self esteem should not manifest on Wikipedia 

I understand that you have a very low self esteem and this results in lying and manipulating history to make yourself look better but this has no place on Wikipedia or any other academic website.

Please keep your ideology and emotions away from your editing, thanks.

69.158.28.97",0
45799f4d9c5198f9,"OK. I'll pretend I'm following. As I said below, I'm doing to coloncoloncolonasterisk thing so the bulleting still looks acceptable if one of these idiots throws in spurious br's or hard returns. Is there something magical about two colons and then an asterisk?    
 **************",0
92703,"Wait a second. Godcast = podcast by a church. From a quick glance at the link in question, it does indeed fit that requirement. What's the problem now? Anyhow, just hurry up and delete this worthless article, lol godcast, I hope by 2007 nobody will have heard of this crap.",0
2523,"""
also, if you wouldn't mind enabling """"email this user"""" at """"My Preferences"""" at your Userpage, that might be helpful for discussion of some information before it is published in the article(s).   """,0
56290,". I won't do that now, because I think the article can be improved, and the three main articles - as you pointed out - should be highlighted",0
f475cefec6fe7f97,or else i will hurt your mommy,1
149544,"""

 Andrew Bruce Nellis 

""""You have recently re-created the article Andrew Bruce Nellis, which was deleted in accordance with Wikipedia's deletion policies. Please do not re-create the article. If you disagree with the article's deletion, you may ask for a deletion review.  Merope Talk """"

The deletion process is broken.""",0
6695,"""
Wow, you're the one commenting on how users commenting on the page are """"drooling retards"""" and you try to drop this courtesy C&P; on me? You're just as pathetic as you've always been and I hope you die in a jizz fire.""",1
129353,"""A RESPONSE TO . I ENTITLE THIS """"YOUR STUPIDITY""""
The Assyrians are not extinct you incompetent bigoted fool. You lack all things historical you impotent maggot. The Assyrians have existed for over 6500 years you incumbent animal. The Assyrians first spoke Akkadian and in the 8th century the kings of Assyria chose Aramaic as the lingua franca of their mighty empire you extinct ape. We have simultaneously existed throughout the ancient era up until the present day you rotten corpse. We were the first nation to accept Christianity and the Assyrian Church of the East spread as far as China and Japan and India in the 6th century AD you degenerate dog. The Assyrians have been and will always continue to exist through persecution and Diaspora you maggot. The aramaena peoples are an extinct pseudo people who never existed since the Assyrians destroyed their kingdom and reduced it to a vassal state you mongrel. This Aramean Syriac name is a name created by radical separatists who deny their ethical heritage since the late 1980s you snake. The Assyrians speak modern Aramaic the Aramaic in which Christ spoke 2 thousand years ago you uneducated mule. Your statements lack depth in all facets; they are unencylcopediatic, unsourced, close minded, uneducated, mentally degenerate comments that seek to downsize the most ancient people down to nothing. You claim that this name was invented by some new comers almost a hundred years ago, this comment alone shows how completely incompetent you are. I have documents that are hundreds of years old that have been passed down through my family over the centuries that specifically speak about the Assyrians and how this name is far more ancient then simple minded people like you claim. This will be the only comment I will make for you because I will not waste my time speaking to a mentally degenerate pig such as yourself who is a denialist, racist, and complete bigot and a distorter of history who denies the race of the Assyrians exist. I will pray every day that you may you die a most horrible death.68.185.65.244  

""",1
96788,"I'm not talking about wikipedia, I'm talking about real life. All the world except for you gayreeks should be treated nicely, you should be executed.",1
610360c3ad00c1aa,What the fuck are you doing you battiboy! Put some clothes on! I will hunt you! I will kill you and the Twelfth Doctor then I will sue.  I will check your ID code and then murder you! I shall kill! You are a prick! GO TO HELL! If you wanna live til the next day put me back on or I will shall kill you!,1
24d28b932bd4cc51,"Wikipedia is not a forum or chat room. It's an encyclopedia. Cheers,   ()",0
79,"Hi! I am back again!
Last warning!
Stop undoing my edits or die!",1
e9a40900345e464b,"""Fuck you i""""ll cut you ass up""",1
10923,"OK, I'll take a look within the next 24 hours. (Meanwhile, no, the article certainly doesn't need an infobox.)",0
cd2e0fb8a6714757,":::I think you're misunderstanding what diffusing means. American politicians is not non-diffusing, African-American politicians is. A non-diffusing cat is one which doesn't remove contents from the parent. A cat can be non-diffusing on one parent and diffusing on another. Secondly, absolutely ergs trees should be 'less navigable' - otherwise you'd have to reproduce the whole generic tree in gender and ethnicity and religion as well, which would cause complications even worse than we have now. There is a limit, we simply disagree on where that line is. Now, of course an EGRS cat can be diffused (ex:by nationality, by job) but the cat itself - and importantly, all of the contents, no matter how deeply nested, - must always be non-diffusing on any neutral parent. Do you understand the difference? One is a description looking up the tree, the other is going down the tree - so obviously Women can be diffused, but it _must_ be non-diffusing on People. Where it gets confusing is where people want to create a subcategory that is diffusing in one tree and non-diffusing in another - like women in forestry is diffusing of women by occupation, but it's non-diffusing of people in forestry - and that's where last rung rule and other ergs guidelines come into play. (Fwiw, i read your cites on forestry and am simply not convinced they cover the broad sweep of that category)  these mezzanine cats also pose a big risk because by simply adding them to a new neutral parent you can immediately ghettoize all of their contents without even realizing it.  Finally as to your points on peas and corn etc, you seem to think that if we group people by X, we can group women by X. This is really deeply wrong, and I really wish you'd understand why. A gendered or ethnic category -even a container - has a much higher bar, if we could do gender + arbitrary container category this would add thousands of cats to the tree. We should not, we should focus such containers to cases where we can establish that the container is itself an object of study, or utility containers like X by nationality. Otherwise we are implicitly making a claim of importance not backed up by sources. I don't target gender cats, I target all bad cats, it just so happens I have a special eye for useless gender cats having done lots of deghettoization, it frustrates me to see these lying about and I think it's bad for the wiki, and my record is pretty good, the cfd crowd seems to agree with the bulk of my proposals. I also create gendered cats sometimes, or help rearrange trees, I recently did some work unwinding princes and princesses for example, so I'm not against them, I'm just picky, unlike our friend Ottawa who has created many dozens, stuffed one person inside and then gone away. I think care should be taken before creating a gendered cat and the ghettoization potential negative is much worse than any marginal navigational benefit in many cases.",0
15491,"I hope World of Warcraft dies a long and painful death
World of Warcraft sucks the biggest donkey balls on this planet. I cannot express how much I hate this piece of wank other than hoping it is raped, stabbed, drowned, raped again when it's dead, drown it in its own blood from being stabbed. Afterwards, it should be buried in a 150 feet deep pit full of maggots and when they have finished with it, the whole pit should be set alight with 20,000 matches.",1
98962,Lets look at Jayjg shall we.... I think that actually coming out and saying that you are with the PNA is far better than the cloak and dagger operation Mossad has going...,0
30367,"I'll try again when I have opportunity.  I think you should start the paragraph with a direct attribution to Bushman because the paragraph is obviously an opinion that would be difficult, if not impossible, to prove and one not held by Brodie or Vogel.  Another book that's helpful on Smith's revelations is Kurt Widmer, Mormonism and the Nature of God (2000).",0
03ca9f1275738dd9,""" 

 : Please do not stikethrough someone else's comments. Have you any idea how arrogant and rude that comes across? Followup, by all means, but that's just not on -   """,0
17257,"""

 """"Ants evolved..."""" as a statement of fact. 

I was wondering if we could have some references inserted after the second sentence of this article:
""""Ants evolved from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants.""""
Also, perhaps this statement should begin with the words """"Many experts believe..."""" or """"Evidence suggests..."""" etc. etc. rather than making a statement of fact since this is not an established fact.  —Preceding unsigned comment added by 62.6.149.18   
 This brings up a good point that many things are stated as fact when it comes to science.  I think that people are only careful to state things the way you describe for things that haven't been statistically proven, which points out several flaws in the statement.  Evolution is well enough established as well as ants evolving from wasps, but them first appearing the the mid-Cretaceous period is hard to statistically prove.  I suppose this should be changed if I'm right, but I may not be.   ~talk 
The Cretaceous period is not a short duration even on an evolutionary scale. The sentence might appear precise if used with some small unit of time but putting it at somewhere between 110 to 130 million years is not exactly being very precise nor does it appear to be an arrogant statement of the available evidence.   
Very true.   ~talk 

 ants 

where do ants mate.
how long do they live.
do they have sex.  —Preceding unsigned comment added by 71.7.207.156   

heh, viable question.  This spawned me to look over the reproduction part of the page and I did some rewriting.  It should be double-checked for good measure.  The article answers these well enough.  Ant's live varied amounts of time depending on many things.  Some workers only live a few months while some queens have been recorded to live more that 30 years.   ~talk 

 Common ants varieties 

There is almost no mention of Little Black Ants or Red Ants in this article. I see these ants everywhere and think that there should be more mention of them.
I'm not sure where you are but if it's Europe then those guys are probably Lasius niger and Myrmica rubra. They aren't common everywhere. '''[[User:Sean.hoyland|",0
7667e7ac8ab78588,:I replied to your comments.,0
a50f97eba7fd99ec,"== JUGGALO 4 LIFE == 
 this is one of my favoit songs by the insane clown posse........i love the way the like to kill people because people are dumb sometimes and i wanna kill them if they need to be killed......and now that i think about it one of the biggest juggalos i know id Kevin Ryan Fisher 

  

  

  

  

  

 BLAAAM!!! 
 (feat. Anybody Killa) 
 [Anybody Killa]  
 Story time, bitch!  
 All across the East Side  
 [Violent J]  
 What? I represent Delray!  
 [Shaggy 2 Dope]  
 Delray!  
 [Anybody Killa]  
 So?  
 [Violent J]  
 South West Side!  
 [Violent J & Shaggy 2 Dope]  
 This Gypsy aunt of mine  
 You're the lucky one  
 She died and left behind  
 An ancient piece of time  
 I didn't know what it was  

 You're the lucky one  
 Knuckle deep in dust  
 Edges played with rust  
 I started to get pissed  
 You're the lucky one  
 This lamp is all I get  
 A worthless piece of shit  
 But once I rubbed it clean  
 You're the lucky one  
 A genie popped on the scene  
 Brought true my every dream  
 [Chorus]  
 I was like  
 BLAAAM! Free hoes  
 BLAAAM! Nyquil  
 BLAAAM! Faygo  
 Anything I want  
 I was like  
 BLAAAM! Sharp axe  
 BLAAAM! Good weed  
 BLAAAM! Hot tracks  
 Everything I need  
 [Violent J & Shaggy 2 Dope]  
 Now I'm in a fizzle  
 You're the lucky wizzle  
 Hotties on the wizzle  
 Still a juggalizzle  
 I drive a platinum car  
 You're the lucky one  
 It has a tennis court and a bar  
 You know who I are  
 Money out the ass  
 You're the lucky one  
 I'm wishing while it last  
 Genie's moving fast  
 [Chorus]  
 I want my  
 BLAAAM! Free bank  
 BLAAAM! Necks cut  
 BLAAAM! My shank  
 Anything I want  
 I want my  
 BLAAAM! Hot wings  
 BLAAAM! Good weed  
 BLAAAM! Big thangs  
 Everything I need  
 [Violent J & Shaggy 2 Dope]  
 Now I am a king  
 You're the lucky one  
 I have everything  
 Nothing's challenging  
 Nothing makes me proud  
 You're the lucky one  
 I stand out in the crowd  
 While others beg out loud  
 I remember when  
 You're the lucky one  
 Money was so thin  
 But dreams were all up in  
 Looking at my lamp  
 You're the lucky one  
 Would I give it all back?  
 Shit, fool, give me that  
 [Chorus]  
 I'll be like  
 BLAAAM! Bitch slaps  
 BLAAAM! Cheap wine  
 BLAAAM! Dub H (waffle house)  
 Anything I want  
 I'll be like  
 BLAAAM! Half pipe  
 BLAAAM! Good weed  
 BLAAAM! Moonlight  
 Everything I need  
 I'll be like  
 BLAAAM! Free hoes  
 BLAAAM! Nyquil  
 BLAAAM! Faygo  
 Anything I want  
 I'll be like  
 BLAAAM! Sharp axe  
 BLAAAM! Good weed  
 BLAAAM! Hot tracks  
 Everything I need  
 [Anybody Killa & Shaggy]  
 BLAAAM!  
 The moral of the story is  
 BLAAAM!  
 Those who never had shit  
 BLAAAM!  
 And then get shit  
 WHAT?  
 Need to get shit  
 BLAAAM!  
 So if you got shit  
 BLAAAM!  
 Or you need shit  
 BLAAAM!  
 Get some shit  
 GO GET YOUR SHIT  
 Fuck this shit  
 Where JD at?",1
17580,"You Hurt My Feelings For The Last Time, Gladys!!!!!!! Try THAT One More Time I Will Hunt You Down And Murder You!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

P.S. I Mean It!!!!!!!!!!!!!!!!!!!!!!!!!",1
38729,"Discography 

Can someone format that section? It got deleted by someone and I tried restoring it but it is definitely messed up. Also in the future, is there a way to add a section that was deleted then to go back and find the version and copy the text? Thanks",0
07a5747bd7b77807,"Flight 17 

 The article Flight 17 has been speedily deleted from Wikipedia. This was done because the article seemed to be about a real person, organization (band, club, company, etc.), or web content, but it did not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not indicate the notability of the subject may be deleted at any time. If you can indicate why the subject is really notable, you are free to re-create the article, making sure to cite any verifiable sources. 

 Please see the guidelines for what is generally accepted as notable, and for specific types of articles, you may want to check out our criteria for biographies, for web sites, for musicians, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",0
6285890bfc8418d5,"2008]] 
 *  
 *  
 *  
 *  
 *  
 * [[User talk:Crash Underride/Archive/December 2008|December",0
12110,"Thanks
Thanks for your contributions to Terrorism in Kazakhstan page, I feel all alone there trying to communicate a basic point.cs",0
3a714552643bcd4b,I can talk to who I want to DICKHEAD,0
455e5be6bee37407,DUDE THE HELL bronys need to be extinguished to go changing my stuff. being a brony is for faggots and originated in nazi germeny and if you are a brony you should kill your self,1
01c75791e712fa9e,"IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!!  IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE A FUCKER AND GET A LIFE. I COULD VANDALIZE ALL I WANT AND I DARE YOU TO EARSE IT AGOIAN. CHANGE YOUR NAME TO FUCKBOT!!!!!!!!I WILL KILL YOU AND CUT YOU CORPSE TO HELL. I'LL CHOP UP YO MAMA, YO DADDY, YO BALDHEADED GRANNY!!!!! yo mama is so fat i need a map to get around her!!! she so fat she had relations with shamu. come on fucker!! what's the worst you can do!!!!!!!!!!!![[IT IS USERS LIKE YOU THAT MAKE WIKIPEDIA A SHITHOLE. YOU'RE",1
103539,i luuuhve yooh ... so FRIKKIN much ..,0
1790e8383f9bc232,":No worries... like I said originally, if you could just reference your changes... by your username I figured you knew what you were talking about, and not just a prankster, which is why I left the message on your talk page... the content can stay for now, but I have made a few minor coding/MOS changes... thank you for the information, and feel free to let me know if you ever need help in the future... -",0
6105b295ae813ec7,"NATE'S GAPING ASSHOLE CAUSES SWINE FLU, AND IS JUST CAUSE FOR HIM TO BE KLINED",0
150951,Please give me a second chance and unblock me. Thank you.,0
72772,"Controversy Section on Pornographic Film

The following should appear in the article, a source has been added to visually compare Vanessa to the actress in the video.

It has been speculated that Vanessa appeared in a pornographic film known as I-Spy-Cameltoe. Fragments of the video itself can be seen here. The video is set in a real life scenario, where a group of men pick Vanessa up from a bus-stop, giving her money to perform sexual acts. The identity of the actress has not been officially acknowledged as Vanessa Alter though physical resemblance is almost clear, supplemented by her performing gymnastic acts.",0
39867,"First Paragraph is a Joke 

Hilarious how Wikipedia purports to have a NPOV policy yet articles such as this continue to show just how liberal-biased its editors actually are. To wit, the first paragraph is an absolute joke. It might as well be a full-scale endorsement of modern liberalism. Focus on “individual liberties” so long as they don’t intrude upon the liberties and rights of others? That’s actually libertarianism (about as far right as you can get). How about modern liberals favor bigger government, higher taxes, and redistribution of wealth? No, that would be telling the truth, and wikipedians hate the truth if it places their ideology in a bad light. No matter what sources you bring to the table, and no matter how many you bring to the table, the masses of welfare-loving, big-government-favoring, anti-American, anti-religious, pro-terrorist, socialist democrat monkeys who run this mickey-mouse operation will (1) find a problem with the source (even when it is a peer-reviewed journal), (2) claim other sources favor the opposing viewpoint (even when their sources come from unreliable, and HIGHLTY biased sources), or – and this is the most common response – (3) try and interpret your source in a manner that would make it consistent with their own views (in vain, but since consensus carries the day, they end up winning). I’m giving up on this site. It’s a %@#$!&&$ joke.65.247.226.99",0
8e0b0753e7d8bc88,"== Hey== 

 HI WILL FUCKING RAPE YOU AND BURN YOUR HOUSE DOWN YOU BROWN  CLOWN! MUAHAAHHHA",1
109693,"Issue? 

Ploutarchos, is there a problem? Are you mad at me???",0
110348,"Hello, Swapnilwakale, and welcome to Wikipedia! Thank you for your contributions.

I notice that one of the first articles you created was Swapnil wakale, which appears to be an article about yourself. This is a common mistake made by new Wikipedians—as this is an encyclopedia, we wouldn't expect to have an article about every contributor. Your user page, however, is a great place to write about yourself, making sure to stay within user page guidelines. Just click your user name at the top of the screen when you are logged in, and edit it normally.

The page you created about yourself may well be deleted from the encyclopedia. If it is deleted and you wish to retrieve its contents, don't hesitate to ask anyone from this list and they will copy it to your user page.

Here are some pages that you might find helpful:
The five pillars of Wikipedia
Contributing to Wikipedia
Tutorial
How to edit a page and How to develop articles
How to create your first article (using the Article Wizard if you wish)
Simplified Manual of Style
I hope you enjoy editing here and being a Wikipedian! Please sign your messages on talk pages using four tildes (~~~~); this will automatically insert your username and the date. If you need help, check out Wikipedia:Questions, ask me on my talk page, or ask your question on this page and then place {{help me}} before the question. Again, welcome!     talk",0
afb47fbf7df0aee8,""" 
 : Indeed. I caught the Missy comment above, too. It's just silly, sexist claptrap and Filll - you should know better x -   """,0
09f84609e94ee20c,I am going to rip off your tiny balls then decapitate you.,1
11980,"Post discussions 

Leveol, please post discussion arguments as to why you want to revert edits before doing so, because you have not heard why I changed what I changed. It seems like you want to be the voice of Macedonians, yet you are simply an outsider who represses us based on your views. How much time you spend repressing instead of contributing to society is unknown to myself, but it seems like that is the only thing you live for.",0
49de4fc4f7b04c25,""" 

 == Your question at RfA == 

 Thanks for noting your concerns regarding the Phil Jones article. Unfortunately , to put the discussion in context requires a back story—a long simmering debate about the propriety of types of sources (blogs, opinion columns, news reports, science articles, and peer-reviewed science articles). I considered summarizing the positions of those with whom I am debating, but I think that's unfair, as I may get some details wrong, so, if I may, I'll briefly summarize my position on some of the issues: 
 # In science articles, peer-reviewed science articles are the gold standard. 
 # In science articles, other sources are acceptable although almost never blogs, as the usage of blogs is quite restricted, and it is not easy to image how they could be used in a pure science article). 
 # One reason for using a source other than a peer-reviewed science article is that peer-reviewed science article sometimes lapse into jargon, and other sources, such as science articles or new reports may be written in a way that is better for our audience, with the critical caveat that if a new report or science article is in dispute with a peer-reviewed science article, the peer-reviewed science article almost always wins. (Rare exceptions, such as when a non-peer-reviewed article notes an error in a peer-reviewed source, and virtually all agree that the peer-reviewed source is mistaken.) 
 # The strong preference for peer-reviewed science articles is less compelling for articles which are not squarely science articles, such as bios of scientists, and articles about the political, commercial, and other aspects related to science questions. (If such an article makes a scientific statement, then the preference for peer-reviewed science articles remains, but in other areas, we apply the ordinary rules.) 

 Sorry for that long background. 

 The Phil Jones (climatologist) article is about a scientist, not a science article. Many aspects of the dispute relate to some editors acting as if it were a science article, insisting that statements in news stories ought to be dismissed. 

 The quote in question comes from the BBC. Not all Reliable Sources are equal, but I trust that the BBC is considered one of the highest quality sources. It is my opinion that in a science article, if we had a statement from the BBC and a statement form a peer-reviewed science article, we would generally default to the peer-reviewed science article (although we might decide to include both and note the discrepancy.) However, the article in question is not a science article. I was quite unhappy that some were attempting to dismiss a quote from the BBC. In addition, part of the """"argument"""" for dismissing the quote is that some editors have personal expertise in the field, and didn't agree with the substance of the statement. Sorry, that isn't how WP works. We don't permit expert to use their personal judgment to override a quote from a scientist. We do welcome expertise - but that expertise could be used to point to relevant documents on the subject, to clarify what a scientist means when they use technical terms so that editors weighing in can make a good judgment about how to use a quote, but we don't permit experts to tell us that the scientist didn't really mean what he plainly stated. If the scientist made a mistake (and that can happen), the BBC is perfectly able to follow up with a correction, or the scientist can follow up with a correction (here is a case where a blog statement might be acceptable). 

 In short, it was my view that certain editors were attempting to suppress a quote in the BBC, simply because that quote didn't fit with their narrative. 

 Could I have done a better job making my case? Almost certainly so. I've reread much of the exchange, and I confess, a couple times, I had to pause and think about what point I was trying to make. I can only assume those I was debating may well have not fully understood my point, so that may have lead to a higher ratio of heart to light that is desirable. 

 Sorry for the length of this comment. I do not like when articles include bad sources to accomplish a POV, nor do I like when good sources are removed to meet a particular POV. This is a perfect example where WP fails our audience. A reader seeing a discussion about the issue may well come to this article, and will be puzzled to see no discussion of it. I think we can do better. """,0
dadd5f1f902faea5,shutup fart noker        tee hee!!!     this was done by sophia rodgers,0
30e53d90b45038f1,""" 
 :::You can assume whatever you want, but this article has nothing to do with the Taliban - that's a different article - either Taliban treatment of women or Women's rights in Afghamistan - and a couple of comments don't change the scope to Taliban or conservative women. Malkin is one woman, and a blogger and commentator at Fox. She's not enough to counter what this article is actually about. Hannity is another talking head. He's very popular, no doubt, but he's not Newsweek, for an example. A couple of right wing commentators trying to argue that there is no """"War on Women"""" because people say rude things about conservatives is not remotely significant enough to include in this article, nor does it change the scope of this article. Puppy has spoken.  """,0
62451,"you stupid cunt. (Oh, and I fucked your mother last night. I hope you die.",1
168,"You should be fired, you're a moronic wimp who is too lazy to do research. It makes me sick that people like you exist in this world.",0
134092,I'm afraid this username is against username policy which does not like repetitive names. Please choose again.,0
92992,In what way wasn't it a success (I hate to ask)?,0
